snapshot,Bramford,Bramley,Daines,Deeside,Denny/Bonnybridge,Errochty,Feckenham,Harker,Keadby,Kemsley,London,Lovedean,Melksham,Neilston,Pelham,Penwortham,Ratcliffe,S.W.Penisula,Sellindge,Stella West,Strathaven,Sundon/East Claydon,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Torness,Walpole
2050-02-27 20:00:00,14.0816556,46.58214,54.1632936,83.21040839999999,7.437564,0.7618848,35.5677936,6.8862552,19.171821599999998,122.278626,87.7151544,49.025591999999996,156.0047208,10.7328,10.926599999999999,17.109372,70.5762168,51.8651196,5.057327999999999,52.3716612,5.55,50.1922032,17.366658,114.56954400000001,14.18325,18.495528
2050-02-27 21:00:00,14.0816556,46.58214,54.1632936,83.21040839999999,7.437564,0.7618848,35.5677936,6.8862552,19.171821599999998,31.440516,87.7151544,49.025591999999996,156.0047208,10.7328,10.926599999999999,17.109372,70.5762168,51.8651196,5.057327999999999,52.3716612,5.55,47.56565632079231,17.366658,114.56954400000001,14.18325,18.495528
2050-02-27 22:00:00,14.0816556,35.496303300476384,54.1632936,83.21040839999999,7.437564,0.7618848,35.5677936,6.8862552,19.171821599999998,31.440516,78.1557144,18.144852,156.0047208,10.7328,10.926599999999999,17.109372,70.5762168,30.660969599999998,5.057327999999999,52.3716612,5.55,33.2523132,17.366658,114.56954400000001,14.18325,18.495528
2050-02-27 23:00:00,14.0816556,12.60864,31.5299136,31.898708399999997,7.437564,0.7618848,35.5677936,4.0127999999999995,19.171821599999998,31.440516,78.1557144,18.144852,43.4704308,10.7328,10.926599999999999,17.109372,19.5222468,30.660969599999998,5.057327999999999,52.3716612,5.55,33.2523132,17.366658,114.56954400000001,13.995348,18.495528
2050-02-28 00:00:00,14.0816556,12.60864,31.5299136,31.898708399999997,7.437564,0.6,35.5677936,4.0127999999999995,19.171821599999998,31.440516,78.1557144,18.144852,43.4704308,10.7328,10.926599999999999,17.109372,19.5222468,30.660969599999998,5.057327999999999,37.891644,5.55,33.2523132,17.366658,114.56954400000001,13.995348,18.495528
2050-02-28 01:00:00,14.0816556,12.60864,31.5299136,31.898708399999997,7.437564,0.6,35.5677936,4.0127999999999995,19.171821599999998,31.440516,78.1557144,18.144852,43.4704308,10.7328,10.926599999999999,17.109372,19.5222468,30.660969599999998,5.057327999999999,37.891644,5.55,33.2523132,17.366658,114.56954400000001,13.995348,18.495528
2050-02-28 02:00:00,14.0816556,12.60864,31.5299136,31.898708399999997,7.437564,0.6,35.5677936,4.0127999999999995,19.171821599999998,31.440516,78.1557144,18.144852,43.4704308,10.7328,10.926599999999999,17.109372,19.5222468,30.660969599999998,5.057327999999999,37.891644,5.55,33.2523132,17.366658,39.350928,13.995348,18.495528
2050-02-28 03:00:00,14.0816556,12.60864,31.5299136,31.898708399999997,7.437564,0.6,35.5677936,4.0127999999999995,19.171821599999998,31.440516,78.1557144,18.144852,43.4704308,10.7328,10.926599999999999,17.109372,19.5222468,30.660969599999998,5.057327999999999,37.891644,5.55,33.2523132,17.366658,93.65251017369633,13.995348,18.495528
2050-02-28 04:00:00,14.0816556,12.60864,31.5299136,31.898708399999997,7.437564,0.6,35.5677936,4.0127999999999995,19.171821599999998,31.440516,78.1557144,18.144852,43.4704308,10.7328,10.926599999999999,17.109372,19.5222468,30.660969599999998,5.057327999999999,37.891644,5.55,33.2523132,17.366658,114.56954400000001,13.995348,18.495528
2050-02-28 05:00:00,14.0816556,12.60864,31.5299136,31.898708399999997,7.437564,0.6,35.5677936,4.0127999999999995,19.171821599999998,31.440516,78.1557144,18.144852,43.4704308,10.7328,10.926599999999999,17.109372,19.5222468,30.660969599999998,5.057327999999999,37.891644,5.55,33.2523132,17.366658,114.56954400000001,13.995348,18.495528
2050-02-28 06:00:00,14.0816556,12.60864,31.5299136,31.898708399999997,7.437564,0.6,35.5677936,4.0127999999999995,19.171821599999998,31.440516,78.1557144,18.144852,43.4704308,10.7328,10.926599999999999,17.109372,19.5222468,30.660969599999998,5.057327999999999,52.3716612,5.55,33.2523132,17.366658,114.56954400000001,13.995348,18.495528
2050-02-28 07:00:00,14.0816556,12.60864,31.5299136,83.21040839999999,10.270547999999998,0.7618848,35.5677936,6.8862552,19.171821599999998,74.18810972535942,78.1557144,18.144852,43.4704308,11.5595688,10.926599999999999,17.109372,61.29382182899208,30.660969599999998,5.057327999999999,52.3716612,6.041436,33.2523132,17.366658,114.56954400000001,14.18325,18.495528
2050-02-28 08:00:00,23.922255599999996,46.58214,31.5299136,31.898708399999997,10.270547999999998,0.7618848,35.5677936,6.8862552,136.2515316,122.278626,87.7151544,49.025591999999996,148.05730151694993,11.5595688,27.679049999999997,17.109372,70.5762168,51.8651196,5.057327999999999,52.3716612,6.041436,33.2523132,18.538158,115.88162400000002,14.18325,59.943197999999995
2050-02-28 09:00:00,33.9770556,46.58214,54.1632936,83.21040839999999,10.270547999999998,0.7618848,35.5677936,10.5179052,136.2515316,185.48090892645206,87.7151544,49.025591999999996,156.0047208,11.5595688,44.79615,18.515172,70.5762168,51.8651196,5.057327999999999,52.3716612,6.041436,50.1922032,18.538158,115.88162400000002,14.18325,59.943197999999995
2050-02-28 10:00:00,33.9770556,46.58214,54.1632936,83.21040839999999,10.270547999999998,0.7618848,35.5677936,10.5179052,176.5462248610807,215.094006,97.48267440000001,80.578512,156.0047208,11.5595688,44.79615,18.515172,122.7414768,73.5308196,5.057327999999999,52.3716612,6.041436,50.1922032,18.538158,115.88162400000002,14.18325,59.943197999999995
2050-02-28 11:00:00,33.9770556,46.58214,54.1632936,83.21040839999999,10.270547999999998,0.7618848,35.5677936,10.5179052,148.5918284311311,215.094006,97.48267440000001,80.578512,156.0047208,11.5595688,44.79615,18.515172,70.5762168,73.5308196,5.057327999999999,52.3716612,6.041436,50.1922032,18.538158,115.88162400000002,14.18325,102.29305799999999
2050-02-28 12:00:00,33.9770556,59.022317505763525,54.1632936,83.21040839999999,10.270547999999998,0.7618848,35.5677936,10.5179052,136.2515316,215.094006,97.48267440000001,80.578512,156.0047208,11.5595688,44.79615,18.515172,70.5762168,51.8651196,5.057327999999999,52.3716612,6.041436,50.1922032,18.538158,115.88162400000002,14.18325,102.29305799999999
2050-02-28 13:00:00,33.9770556,46.58214,54.1632936,83.21040839999999,10.270547999999998,0.7618848,35.5677936,10.5179052,245.10482618013424,215.094006,97.48267440000001,49.025591999999996,156.0047208,11.5595688,44.79615,18.515172,70.5762168,51.8651196,5.057327999999999,52.3716612,6.041436,50.1922032,18.538158,115.88162400000002,14.18325,102.29305799999999
2050-02-28 14:00:00,33.9770556,46.58214,54.1632936,83.21040839999999,10.270547999999998,0.7618848,35.5677936,10.5179052,177.14946726317694,215.094006,97.48267440000001,80.578512,156.0047208,11.5595688,44.79615,18.515172,70.5762168,51.8651196,5.057327999999999,52.3716612,6.041436,50.1922032,18.538158,115.88162400000002,14.18325,102.29305799999999
