generator,carrier,empirical_mc,support_type_inferred,n_bmus,median_bid,mean_bid,std_bid
t_rrww-1,wind_onshore,-147.68,ROC,1,-147.68,-146.68628898362127,1.7370315005289267
t_whilw-1,wind_onshore,-46.19,ROC,1,-46.19,-47.208412649591764,47.23972177044174
thanet offshore wind limited 1,wind_offshore,-67.5,ROC,1,-67.5,-82.91888491220222,83.79808635339201
thanet offshore wind limited 2,wind_offshore,-67.5,ROC,1,-67.5,-82.70092830779555,83.5514300288499
toddleburn,wind_onshore,-78.98,ROC,1,-78.98,-56.901586231965105,52.137768125296596
triton knoll osp east 1,wind_onshore,-146.93,ROC,1,-146.93,-125.45561028447636,41.98127990084291
triton knoll osp west 1,wind_onshore,-146.93,ROC,1,-146.93,-124.10509742318557,42.13379223952001
tullo extension,wind_onshore,-84.0,ROC,1,-84.0,-84.37848115423331,4.542303584623939
tullo windfarm,wind_onshore,-84.0,ROC,1,-84.0,-84.38166871714573,4.540947066763344
tullymurdoch wind farm,wind_onshore,-115.0,ROC,1,-115.0,-115.0,0.0
twenty shilling wind farm,wind_onshore,-75.0,ROC,1,-75.0,-75.69343473884354,2.5404086488481004
walney_1,wind_onshore,-27.480000000000004,ROC,1,-27.480000000000004,-35.456337937590874,135.611757777069
walney_2,wind_offshore,-27.480000000000004,ROC,1,-27.480000000000004,-35.456337937590874,135.611757777069
walney_3,wind_offshore,0.0,CfD_or_merchant,1,0.0,-23.640384851700833,127.28899196950302
walney_4,wind_offshore,0.0,CfD_or_merchant,1,0.0,-23.656011562307995,127.30325479264883
west of duddon sands offshore1,wind_offshore,-100.08,ROC,1,-100.08,-103.74787887260933,103.86445298265794
west of duddon sands offshore2,wind_offshore,-100.08,ROC,1,-100.08,-103.74787887260933,103.86445298265794
westermost_rough,wind_offshore,-31.730000000000004,ROC,1,-31.730000000000004,-35.68237529359132,135.7219212086905
whitelee extension,wind_onshore,-47.035,ROC,1,-47.035,-48.53948887149089,48.57810091486982
whiteside hill wf,wind_onshore,-90.0,ROC,1,-90.0,-90.0,0.0
windy rig wind farm,wind_onshore,-75.0,ROC,1,-75.0,-75.00055922156358,0.07478007266032898
