site_code,site_name,lat,lon,source
WHLL,WHITESIDE HILL,55.734211,-4.82694,nominatim_geocode
WHSO,WHITSON,51.564,-2.829,manual_correction
WHTB,WHISTLEFIELD BOUNDARY,56.094339,-4.837404,nominatim_geocode
WHTL,WHISTLEFIELD,56.094339,-4.837404,nominatim_geocode
WILE,WILLINGTON EAST,52.853075,-1.563006,nominatim_geocode
WILT,WILTON,54.589422,-1.118631,name_in_gen (power_stations)
WIYH,WINDYHILL,55.215235,-3.625562,nominatim_geocode
WLEE,WHITELEE,55.570228,-2.684641,nominatim_geocode
WLEX,WHITELEE EXTENSION,55.570228,-2.684641,nominatim_geocode
YAXL,YAXLEY,52.511405,-0.241231,nominatim_geocode
