name,load,BritNed,EastWest,Moyle,Nemo,IFA,IFA2
2020-01-06 13:00:00,44056.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-06 14:00:00,43760.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-06 15:00:00,43143.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-06 16:00:00,43070.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-06 17:00:00,45018.5,-0.0,128.5,102.0,-0.0,-0.0,1.0
2020-01-06 18:00:00,46057.0,-0.0,419.5,315.0,-0.0,-0.0,1.0
2020-01-06 19:00:00,45017.0,-0.0,535.5,436.0,-0.0,-0.0,1.0
2020-01-06 20:00:00,43176.0,-0.0,500.0,345.5,-0.0,-0.0,1.0
2020-01-06 21:00:00,40564.0,-0.0,462.0,247.5,-0.0,-0.0,1.0
2020-01-06 22:00:00,36753.5,-0.0,196.5,91.0,-0.0,-0.0,1.0
2020-01-06 23:00:00,32574.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-07 00:00:00,29225.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-07 01:00:00,28513.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-07 02:00:00,28626.5,193.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-07 03:00:00,28466.5,248.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-07 04:00:00,27721.0,413.5,-0.0,-0.0,184.5,-0.0,1.0
2020-01-07 05:00:00,26857.0,444.0,-0.0,-0.0,324.5,-0.0,1.0
2020-01-07 06:00:00,27823.0,1.5,-0.0,-0.0,375.0,45.0,1.0
2020-01-07 07:00:00,32724.5,357.5,-0.0,-0.0,277.5,-0.0,1.0
2020-01-07 08:00:00,38558.5,195.5,-0.0,-0.0,105.0,211.5,1.0
2020-01-07 09:00:00,40567.5,443.5,-0.0,-0.0,149.5,-0.0,1.0
2020-01-07 10:00:00,41796.5,-0.0,-0.0,-0.0,2.5,-0.0,1.0
2020-01-07 11:00:00,42243.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-07 12:00:00,42441.5,-0.0,-0.0,-0.0,61.0,160.0,1.0
2020-01-07 13:00:00,42795.0,-0.0,-0.0,-0.0,-0.0,533.5,1.0
2020-01-07 14:00:00,42815.5,-0.0,-0.0,-0.0,-0.0,850.0,1.0
2020-01-07 15:00:00,42526.5,-0.0,-0.0,-0.0,-0.0,806.0,1.0
2020-01-07 16:00:00,42871.5,110.5,-0.0,-0.0,76.0,-0.0,1.0
2020-01-07 17:00:00,45489.0,239.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-07 18:00:00,46562.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-07 19:00:00,45443.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-07 20:00:00,43334.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-07 21:00:00,40325.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-07 22:00:00,36744.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-07 23:00:00,32328.5,-0.0,-0.0,1.5,-0.0,503.0,1.0
2020-01-08 00:00:00,28976.5,-0.0,0.5,151.5,621.0,665.5,1.0
2020-01-08 01:00:00,27872.5,-0.0,44.5,364.5,681.0,672.5,1.0
2020-01-08 02:00:00,27489.5,-0.0,186.0,455.5,622.0,672.5,1.0
2020-01-08 03:00:00,27071.0,-0.0,409.5,456.0,127.5,678.0,1.0
2020-01-08 04:00:00,26568.0,-0.0,489.0,415.0,-0.0,684.0,1.0
2020-01-08 05:00:00,26074.5,207.0,301.5,388.0,147.5,704.5,1.0
2020-01-08 06:00:00,27146.5,-0.0,59.0,233.5,173.0,754.5,1.0
2020-01-08 07:00:00,32431.5,-0.0,-0.0,63.0,-0.0,318.0,1.0
2020-01-08 08:00:00,38654.5,443.0,142.0,201.0,-0.0,944.0,1.0
2020-01-08 09:00:00,40436.5,789.0,439.5,424.0,323.5,385.5,1.0
2020-01-08 10:00:00,41260.5,1012.5,536.0,450.5,447.5,-0.0,1.0
2020-01-08 11:00:00,41929.0,1063.0,535.5,456.0,122.0,-0.0,1.0
2020-01-08 12:00:00,42454.5,278.5,535.0,443.0,273.0,-0.0,1.0
2020-01-08 13:00:00,42709.0,256.5,536.0,449.0,518.0,-0.0,1.0
2020-01-08 14:00:00,42241.0,358.0,535.5,430.5,503.0,-0.0,1.0
2020-01-08 15:00:00,41780.0,214.5,535.5,455.5,275.0,-0.0,1.0
2020-01-08 16:00:00,41821.0,146.5,535.0,456.0,244.0,-0.0,1.0
2020-01-08 17:00:00,44266.5,116.0,535.5,456.0,-0.0,-0.0,1.0
2020-01-08 18:00:00,45334.0,-0.0,535.5,456.0,-0.0,-0.0,1.0
2020-01-08 19:00:00,44664.0,-0.0,536.0,456.0,-0.0,-0.0,1.0
2020-01-08 20:00:00,42936.0,-0.0,487.5,456.0,-0.0,-0.0,1.0
2020-01-08 21:00:00,40524.5,-0.0,242.0,456.0,-0.0,-0.0,1.0
2020-01-08 22:00:00,37097.5,-0.0,142.0,454.5,-0.0,-0.0,1.0
2020-01-08 23:00:00,32911.0,-0.0,17.0,323.5,-0.0,-0.0,1.0
2020-01-09 00:00:00,29334.0,-0.0,-0.0,108.5,-0.0,-0.0,1.0
