,Dinorwig,Ffestiniog,Cruachan,Foyers
771,7681.457035307297,846.2664399255796,2469.4885256204125,2973.4055758256404
772,7681.457035082326,846.2664395374787,2409.879643014569,2784.1485657182966
773,7681.457034859998,846.2664391498884,2350.2240304286106,2596.405342400662
774,7681.45703463946,846.2664387635149,2290.529680144554,2402.941985499942
775,7681.457034420608,846.2664383777503,2229.9210117454695,2203.4242286569993
776,7681.4570342005245,846.2664379923742,2167.8260531496117,1997.9273465777048
777,7681.457033973701,846.2664376024106,2102.9595927542628,1783.808028448098
778,7681.457033746206,846.2664372117075,2035.7246680974465,1564.1049520399695
779,7681.4570335197495,846.2664368230268,1966.3978514649389,1342.5326183053335
780,7681.457033295639,846.2664364350179,1893.955062846133,1131.5443051615543
781,7681.457033077171,846.266436048886,1818.257011949948,946.505871274779
782,7681.457032863968,846.266435667124,1743.1521821936838,822.5483206853322
783,7681.457032648054,846.2664352842077,1656.2812113394934,716.2491572049789
784,7681.457032433874,846.2664349047267,1475.7915557962826,675.071926720432
785,7681.4570322134505,846.2664345214469,1164.7927015808045,643.6076304450391
786,7681.457031997354,846.2664341351112,808.0229089077583,610.5490644297834
787,7681.457031785384,846.2664337508653,477.71973782086945,563.2568498733348
788,7681.457031576865,846.266433369363,264.5799168720274,387.36198278506515
789,7681.457031378989,846.2664329924572,80.1474859543805,123.77583899820634
790,7681.45703118792,846.2664326288182,9.211974586573692e-07,4.392997993343294e-07
791,7681.457029903812,846.2664311629322,244.5560270917518,2.4057823957065776e-07
792,7681.457026668724,846.2664276722272,625.1560003354249,96.5879421700133
793,7681.457023442345,846.2664241793325,1005.7559743074211,283.8405810919347
794,7681.457020245676,846.2664206853352,1386.3559486484776,480.4123820903035
795,7681.457017067322,846.2664171939866,1766.95592309556,680.1017495507524
796,7681.457013880306,846.2664136931811,2147.555897549625,872.7142090813609
797,7681.457010703492,846.2664101986097,2528.15587208115,1066.461910716019
798,7681.457006826382,846.2664059681831,2908.7557363065343,1259.1466874881917
799,7681.4570028798935,846.2664017139774,3289.3555999352784,1449.8522340310722
800,7681.45699872277,846.2663972403071,3632.416310131091,1638.6284963733247
801,7681.456994575135,846.2663927490684,3719.643296439924,1824.8130927960171
802,7681.4569903109705,846.2663881622667,3865.924947754234,2009.698421675716
803,7681.456986057953,846.2663835699653,3949.545782288262,2193.206489417663
804,7681.456984304426,846.2663816022082,3888.202607766205,2375.3593865153084
805,7681.4569825673225,846.2663796195523,3598.414607050259,2556.422812396557
806,7681.456980808147,846.2663776414421,3510.287213215577,2737.1767152436
807,7681.456979031961,846.266375647477,3345.5354602416596,2917.4833963640135
808,7681.456977266982,846.2663736826061,3284.4031168319607,3097.659686913261
809,7681.456972400197,846.2663685312257,3284.4032054860468,3277.650085621371
810,7681.456968025675,846.2663639160846,3284.4032096150017,3457.61841644534
811,7681.4569631164895,846.2663587635552,3284.4032905385,3637.883401921428
812,7681.456958238311,846.2663535965949,3284.4033778307594,3818.770748211705
813,7681.456954007288,846.2663489845877,3360.326204327262,4000.9092291055317
814,7681.456950087803,846.2663446804715,3740.926073834487,4185.8371421422835
815,7681.456946237934,846.2663403847881,4121.525937447349,4372.341651984176
816,7681.456942105024,846.2663357826957,4491.861076196306,4560.436591862375
817,7681.456937956298,846.2663311733118,4862.482799048272,4748.918342313696
818,7681.456933745621,846.266326524652,5233.176576799531,4935.788820421944
819,7681.456929490596,846.2663218675872,5604.463763735677,5132.64619945814
820,7681.456926125893,846.2663181469989,5985.063729658853,5327.954073875015
821,7681.456921867766,846.2663135457452,6356.698617356866,5524.026659489119
822,7681.456917531019,846.2663089443773,6728.89091623996,5723.862554894012
823,7681.456913338519,846.2663044436013,7099.839999721527,5925.908029082337
824,7681.456912950961,846.2663038989785,6817.806659168286,6125.893360965279
825,7681.456912756144,846.2663035271994,6309.136300159221,6299.9999996038705
826,7681.456912557641,846.2663031514447,6293.590023241361,6299.999999806273
827,7681.456912356104,846.2663027805138,6295.08875749885,6296.585855021548
828,7681.456912154862,846.266302412621,6301.917339603181,6240.797913669856
