,carrier,type,p_nom,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
Lakeside EfW,Waste,Waste,19.8,London,0.0,0.0,0.0,0.0
Baldovie,Waste,Waste,5.478,Denny/Bonnybridge,0.0,0.0,0.0,0.0
Allington EFW,Waste,Waste,33.66,Kemsley,0.0,0.0,0.0,0.0
Coventry,Waste,Waste,2.97,Feckenham,0.0,0.0,0.0,0.0
Ardwick Railway Goods Yard Incinerator (Newhaven EFW Plant),Waste,Waste,22.11,Daines,0.0,0.0,0.0,0.0
Bolton TRF,Waste,Waste,7.128,Daines,0.0,0.0,0.0,0.0
North Quay ERF,Waste,Waste,12.078,Lovedean,0.0,0.0,0.0,0.0
Sheffield ERF,Waste,Waste,12.738,Th. Marsh/Stocksbridge,0.0,0.0,0.0,0.0
Peterborough EfW,Waste,Waste,4.818,Walpole,0.0,0.0,0.0,0.0
Battlefield EfW,Waste,Waste,5.28,Deeside,0.0,0.0,0.0,0.0
Four Ashes EfW,Waste,Waste,15.18,Feckenham,0.0,0.0,0.0,0.0
Cornwall ERC,Waste,Waste,13.2,S.W.Penisula,0.0,0.0,0.0,0.0
Severnside Energy Recovery Centre,Waste,Waste,21.12,Melksham,0.0,0.0,0.0,0.0
Trident Park,Waste,Waste,19.8,Melksham,0.0,0.0,0.0,0.0
