,carrier,p_nom,type,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
Drax - coal units,Coal,1980.0,,Thornton/Drax/Eggborough,,1.0,1.0,1.0
Cottam,Coal,2008.0,,Keadby,,1.0,1.0,1.0
West Burton,Coal,2012.0,,Keadby,,1.0,1.0,1.0
Eggborough,Coal,1960.0,,Thornton/Drax/Eggborough,,1.0,1.0,1.0
Aberthaw B,Coal,1610.0,,Melksham,,1.0,1.0,1.0
Uskmouth power,Coal,363.0,,Melksham,,1.0,1.0,1.0
Fiddler`s Ferry,Coal,1961.0,,Deeside,,1.0,1.0,1.0
Ratcliffe,Coal,2021.0,,Ratcliffe,,1.0,1.0,1.0
Dungeness B,Nuclear,1120.0,,Sellindge,5.0,0.03,0.03,0.73
Hartlepool,Nuclear,1207.0,,Stella West,5.0,0.03,0.03,0.73
Heysham 1,Nuclear,1179.0,,Penwortham,5.0,0.03,0.03,0.73
Heysham 2,Nuclear,1254.0,,Penwortham,5.0,0.03,0.03,0.73
Hinkley Point B,Nuclear,1061.0,,S.W.Penisula,5.0,0.03,0.03,0.73
Sizewell B,Nuclear,1216.0,,Bramford,5.0,0.03,0.03,0.73
Hunterston B,Nuclear,1074.0,,Neilston,5.0,0.03,0.03,0.73
Torness,Nuclear,1250.0,,Torness,5.0,0.03,0.03,0.73
Sutton Bridge,Natural Gas,819.0,CCGT,Walpole,,1.0,1.0,1.0
Baglan Bay CCGT,Natural Gas,520.0,CCGT,Melksham,,1.0,1.0,1.0
Severn Power,Natural Gas,850.0,CCGT,Melksham,,1.0,1.0,1.0
Peterborough,Natural Gas,360.0,CCGT,Walpole,,1.0,1.0,1.0
Glanford Brigg,Natural Gas,150.0,CCGT,Keadby,,1.0,1.0,1.0
Barry,Natural Gas,235.0,CCGT,Melksham,,1.0,1.0,1.0
Corby,Natural Gas,401.0,CCGT,Ratcliffe,,1.0,1.0,1.0
Castleford,Natural Gas,56.0,CCGT,Thornton/Drax/Eggborough,,1.0,1.0,1.0
Sandbach,Natural Gas,56.0,CCGT,Daines,,1.0,1.0,1.0
Thornhill,Natural Gas,50.0,CCGT,Th. Marsh/Stocksbridge,,1.0,1.0,1.0
West Burton CCGT,Natural Gas,1332.0,CCGT,Keadby,,1.0,1.0,1.0
South Humber Bank,Natural Gas,1365.0,CCGT,Keadby,,1.0,1.0,1.0
Langage,Natural Gas,905.0,CCGT,S.W.Penisula,,1.0,1.0,1.0
Carrington,Natural Gas,910.0,CCGT,Daines,,1.0,1.0,1.0
Rocksavage,Natural Gas,810.0,CCGT,Deeside,,1.0,1.0,1.0
Coryton,Natural Gas,800.0,CCGT,Kemsley,,1.0,1.0,1.0
Spalding,Natural Gas,880.0,CCGT,Walpole,,1.0,1.0,1.0
Marchwood,Natural Gas,920.0,CCGT,Lovedean,,1.0,1.0,1.0
Didcot B,Natural Gas,1550.0,CCGT,Bramley,,1.0,1.0,1.0
Great Yarmouth,Natural Gas,420.0,CCGT,Bramford,,1.0,1.0,1.0
Little Barford,Natural Gas,740.0,CCGT,Sundon/East Claydon,,1.0,1.0,1.0
Pembroke,Natural Gas,2199.0,CCGT,Melksham,,1.0,1.0,1.0
Staythorpe C,Natural Gas,1772.0,CCGT,Ratcliffe,,1.0,1.0,1.0
Saltend *,Natural Gas,1200.0,CCGT,Keadby,,1.0,1.0,1.0
Blackburn,Natural Gas,59.0,CCGT,Penwortham,,1.0,1.0,1.0
Damhead Creek,Natural Gas,805.0,CCGT,Kemsley,,1.0,1.0,1.0
Shoreham,Natural Gas,420.0,CCGT,Lovedean,,1.0,1.0,1.0
Rye House,Natural Gas,715.0,CCGT,Pelham,,1.0,1.0,1.0
Seabank,Natural Gas,1234.0,CCGT,Melksham,,1.0,1.0,1.0
Fellside CHP *,Natural Gas,180.0,CCGT,Harker,,1.0,1.0,1.0
Peterhead,Natural Gas,1180.0,CCGT,Peterhead,,1.0,1.0,1.0
Keadby,Natural Gas,735.0,CCGT,Keadby,,1.0,1.0,1.0
Medway,Natural Gas,755.0,CCGT,Kemsley,,1.0,1.0,1.0
Cottam Development Centre,Natural Gas,445.0,CCGT,Keadby,,1.0,1.0,1.0
Connahs Quay,Natural Gas,1380.0,CCGT,Deeside,,1.0,1.0,1.0
Enfield,Natural Gas,408.0,CCGT,London,,1.0,1.0,1.0
Grain CHP *,Natural Gas,1517.0,CCGT,Kemsley,,1.0,1.0,1.0
VPI Immingham *,Natural Gas,1240.0,CCGT,Keadby,,1.0,1.0,1.0
Baglan Bay OCGT,Natural Gas,32.3,OCGT,Melksham,,1.0,1.0,1.0
Killingholme,Natural Gas,600.0,OCGT,Keadby,,1.0,1.0,1.0
Barkantine Heat & Power Company *,Natural Gas,1.0,OCGT,London,,1.0,1.0,1.0
London Heat & Power Company *,Natural Gas,9.0,OCGT,London,,1.0,1.0,1.0
Wilton GT *,Natural Gas,120.0,OCGT,Stella West,,1.0,1.0,1.0
Burghfield,Natural Gas,50.0,OCGT,Bramley,,1.0,1.0,1.0
Chickerell,Natural Gas,50.0,OCGT,S.W.Penisula,,1.0,1.0,1.0
Chippenham,Natural Gas,10.0,OCGT,Melksham,,1.0,1.0,1.0
Pilkington - Greengate *,Natural Gas,10.0,OCGT,Deeside,,1.0,1.0,1.0
Knapton,Natural Gas,41.5,OCGT,Thornton/Drax/Eggborough,,1.0,1.0,1.0
Drax GT,Oil,75.0,,Thornton/Drax/Eggborough,,1.0,1.0,1.0
West Burton GT,Oil,40.0,,Keadby,,1.0,1.0,1.0
Aberthaw GT,Oil,51.0,,Melksham,,1.0,1.0,1.0
Cowes,Oil,140.0,,Lovedean,,1.0,1.0,1.0
Didcot GT,Oil,100.0,,Sundon/East Claydon,,1.0,1.0,1.0
Little Barford GT,Oil,17.0,,Sundon/East Claydon,,1.0,1.0,1.0
Fiddler`s Ferry GT,Oil,35.0,,Deeside,,1.0,1.0,1.0
Keadby GT,Oil,25.0,,Keadby,,1.0,1.0,1.0
Taylor's Lane GT,Oil,144.0,,Lovedean,,1.0,1.0,1.0
Grain GT,Oil,56.0,,Kemsley,,1.0,1.0,1.0
Ratcliffe GT,Oil,34.0,,Ratcliffe,,1.0,1.0,1.0
Indian Queens,Oil,140.0,Gas oil / kerosene,S.W.Penisula,,1.0,1.0,1.0
Arnish,Oil,10.2,Diesel,Beauly,,1.0,1.0,1.0
Barra,Oil,3.0,Diesel,Beauly,,1.0,1.0,1.0
Bowmore,Oil,6.2,Diesel,N. Ireland,,1.0,1.0,1.0
Kirkwall,Oil,16.0,Diesel,Peterhead,,1.0,1.0,1.0
Lerwick,Oil,67.0,Diesel,Peterhead,,1.0,1.0,1.0
"Loch Carnan, South Uist",Oil,11.5,Diesel,Beauly,,1.0,1.0,1.0
Tiree,Oil,3.0,Diesel,Neilston,,1.0,1.0,1.0
Stornoway,Oil,24.0,Diesel,Beauly,,1.0,1.0,1.0
Green's Lodge Farm,Anaerobic Digestion,2.0,Anaerobic Digestion,Ratcliffe,0.0,1.0,1.0,1.0
Oak Grove Biomass Facility,Anaerobic Digestion,2.0,Anaerobic Digestion,Walpole,0.0,1.0,1.0,1.0
Land at Grange Farm,Anaerobic Digestion,1.1,Anaerobic Digestion,Keadby,0.0,1.0,1.0,1.0
North Tamar Environ Project - Holsworthy  (Farm AD),Anaerobic Digestion,1.4,Anaerobic Digestion,S.W.Penisula,0.0,1.0,1.0,1.0
Deerdykes Composting and Organics Recycling Facility (Waste AD),Anaerobic Digestion,1.0,Anaerobic Digestion,Denny/Bonnybridge,0.0,1.0,1.0,1.0
Cumbernauld BioPlant  (Waste AD),Anaerobic Digestion,2.4,Anaerobic Digestion,Denny/Bonnybridge,0.0,1.0,1.0,1.0
Carr Farm (Farm AD),Anaerobic Digestion,1.0,Anaerobic Digestion,Penwortham,0.0,1.0,1.0,1.0
