,Grid
290,-23.1
291,-23.1
292,-22.7
293,-22.7
294,-22.7
295,-22.7
296,-22.7
297,-22.7
298,-21.65
299,-21.65
300,-27.95
301,-27.95
302,-20.6
303,-20.6
304,-27.95
305,-27.95
306,-22.7
307,-22.7
308,-22.7
309,-22.7
310,-16.0
311,-16.0
312,-5.700000000000003
313,-5.700000000000003
314,-5.399999999999999
315,-5.399999999999999
316,-9.050000000000004
317,-9.050000000000004
318,-10.099999999999994
319,-10.099999999999994
320,-0.20476190000000116
321,-0.20476190000000116
322,-1.5547619000000026
323,-1.5547619000000026
324,-1.4547619000000012
325,-1.4547619000000012
326,-66.7547619
327,-4.850000000000001
328,-5.899999999999999
329,-5.899999999999999
330,-4.850000000000001
331,-4.850000000000001
332,-7.25
333,-7.25
334,-24.8
335,-26.9
336,-28.900000000000002
337,-26.9
338,-26.9
339,-30.049999999999997
340,-30.049999999999997
341,-30.049999999999997
342,-30.25
343,-30.6
344,-30.049999999999997
345,-30.049999999999997
346,-26.9
347,-23.75
348,-16.1
349,-18.5
350,-11.25
351,-10.75
352,-11.800000000000004
353,-12.100000000000001
354,-10.099999999999994
355,-10.099999999999994
356,-10.0
357,-10.099999999999994
358,-9.450000000000003
359,-11.049999999999997
360,-9.050000000000004
361,-8.849999999999994
362,-6.950000000000003
363,-6.950000000000003
364,-8.949999999999996
365,-10.299999999999997
366,-8.0
367,1.4499999999999957
368,5.495238100000002
369,18.195238099999997
370,14.845238100000003
371,16.095238100000003
372,6.6452381
373,5.595238100000003
374,-59.5047619
375,-3.6000000000000014
376,-5.899999999999999
377,-8.5
378,-10.850000000000001
379,-13.25
380,36.349999999999994
381,36.2
382,38.849999999999994
383,38.849999999999994
384,34.85
385,37.8
386,35.2
387,25.6
388,31.099999999999998
389,25.2
390,-20.6
391,-24.8
392,-19.65
393,-22.7
394,-17.450000000000003
395,-15.049999999999997
396,-9.900000000000006
397,-11.150000000000006
398,-10.0
399,-2.950000000000003
400,40.949999999999996
401,44.349999999999994
402,38.650000000000006
403,39.25
404,35.699999999999996
405,34.85
406,33.199999999999996
407,34.55
408,34.65
409,34.55
410,39.5
411,40.949999999999996
412,39.900000000000006
413,37.599999999999994
414,34.65
415,44.1
416,52.4452381
417,63.995238099999995
418,65.4452381
419,65.4452381
420,55.6952381
421,48.4452381
422,-18.3047619
423,42.0
424,40.949999999999996
425,38.650000000000006
426,39.4
427,38.3
428,36.75
429,32.55
430,36.75
431,36.349999999999994
432,36.75
433,39.900000000000006
434,39.900000000000006
435,34.65
436,32.35
437,25.2
438,27.3
439,23.1
440,25.6
441,25.2
442,23.1
443,28.900000000000002
444,38.45
445,38.849999999999994
446,41.349999999999994
447,47.45
448,47.25
449,47.25
450,52.400000000000006
451,47.25
452,50.4
453,44.95
454,42.199999999999996
455,40.949999999999996
456,-12.200000000000003
457,-12.200000000000003
458,-15.049999999999997
459,-15.350000000000001
460,-15.049999999999997
461,-15.350000000000001
462,-14.700000000000003
463,-2.950000000000003
464,-7.8547619
465,5.595238100000003
466,3.795238100000006
467,1.3952381000000003
468,0.345238099999996
469,-7.004761899999998
470,-72.0047619
471,-10.099999999999994
472,-10.5
473,-11.899999999999999
474,-9.600000000000001
475,-15.350000000000001
476,-14.300000000000004
477,-20.6
478,-16.800000000000004
479,-18.900000000000002
480,-22.5
481,-15.350000000000001
482,-12.5
483,-23.95
484,-22.7
485,-29.0
486,-26.9
487,-30.049999999999997
488,-33.2
489,-34.25
490,-32.25
491,-29.0
492,-30.049999999999997
493,-24.8
494,-26.9
495,-19.55
496,-21.7
497,-14.300000000000004
498,-17.549999999999997
499,-15.350000000000001
500,-16.700000000000003
501,-16.299999999999997
502,-15.75
503,-15.350000000000001
504,-15.550000000000004
505,-15.350000000000001
506,-11.800000000000004
507,-11.800000000000004
508,-10.850000000000001
509,-15.350000000000001
510,-15.350000000000001
511,-16.800000000000004
512,-8.704761899999994
513,4.545238100000006
514,12.945238100000005
515,15.595238100000003
516,9.795238099999999
517,1.1952380999999974
518,-63.2047619
519,-4.850000000000001
520,-11.800000000000004
521,-11.800000000000004
522,-10.600000000000001
523,-15.350000000000001
524,-15.350000000000001
525,-14.300000000000004
526,-10.600000000000001
527,-11.450000000000003
528,-10.850000000000001
529,0.3999999999999986
530,-4.100000000000001
531,-14.799999999999997
532,-8.849999999999994
533,-21.45
534,-15.25
