,Heat_Demand,Elec_Demand
869,0.41910000000000003,0.252
870,0.4698,0.232
871,0.5366000000000001,0.2145
872,0.6033999999999999,0.197
873,0.66625,0.1845
874,0.7291,0.172
875,0.7840499999999999,0.1675
876,0.839,0.163
877,1.115,0.165
878,1.391,0.167
879,1.5155,0.177
880,1.64,0.187
881,1.5745,0.2005
882,1.509,0.214
883,1.4585,0.2285
884,1.408,0.243
885,1.13165,0.2565
886,0.8553,0.27
887,0.7253499999999999,0.2835
888,0.5953999999999999,0.297
889,0.65315,0.308
890,0.7109,0.319
891,0.7563499999999999,0.3255
892,0.8018,0.332
893,0.83405,0.3345
894,0.8663,0.337
895,1.12715,0.3405
896,1.388,0.344
897,1.512,0.353
898,1.636,0.362
899,1.7065,0.374
900,1.777,0.386
901,1.799,0.3945
902,1.821,0.403
903,1.5845,0.4085
904,1.348,0.414
905,1.23,0.4175
906,1.112,0.421
907,1.0326,0.4205
908,0.9532,0.42
909,0.8482000000000001,0.411
910,0.7432000000000001,0.402
911,0.6580499999999999,0.3825
912,0.5729,0.363
913,0.51195,0.339
914,0.451,0.315
915,0.41314999999999996,0.293
916,0.3753,0.271
917,0.42965,0.252
918,0.484,0.233
919,0.5551,0.2165
920,0.6262000000000001,0.2
921,0.692,0.187
922,0.7577999999999999,0.174
923,0.8152,0.167
924,0.8726,0.16
925,1.1498,0.161
926,1.427,0.162
927,1.552,0.17
928,1.677,0.178
929,1.6245,0.1915
930,1.572,0.205
931,1.515,0.221
932,1.458,0.237
933,1.1789,0.2545
934,0.8997999999999999,0.272
935,0.7677999999999999,0.2895
936,0.6357999999999999,0.307
937,0.681,0.3225
938,0.7262000000000001,0.338
939,0.778,0.3495
940,0.8298,0.361
941,0.8657999999999999,0.3685
942,0.9017999999999999,0.376
943,1.1659000000000002,0.383
944,1.43,0.39
945,1.5565,0.4005
946,1.683,0.411
947,1.754,0.4195
948,1.825,0.428
949,1.8475,0.4335
950,1.87,0.439
951,1.6335,0.443
952,1.397,0.447
953,1.279,0.4485
954,1.161,0.45
955,1.082,0.4455
956,1.003,0.441
957,0.89195,0.427
958,0.7808999999999999,0.413
959,0.6890499999999999,0.3895
960,0.5972000000000001,0.366
961,0.5303,0.341
962,0.4634,0.316
963,0.41935,0.292
964,0.3753,0.268
965,0.42965,0.247
966,0.484,0.226
967,0.5551,0.2085
968,0.6262000000000001,0.191
969,0.692,0.1785
970,0.7577999999999999,0.166
971,0.8152,0.1635
972,0.8726,0.161
973,1.1498,0.169
974,1.427,0.177
975,1.552,0.1885
976,1.677,0.2
977,1.6245,0.212
978,1.572,0.224
979,1.515,0.2355
980,1.458,0.247
981,1.1789,0.258
982,0.8997999999999999,0.269
983,0.7677999999999999,0.2795
984,0.6357999999999999,0.29
985,0.681,0.296
986,0.7262000000000001,0.302
987,0.778,0.302
988,0.8298,0.302
989,0.8657999999999999,0.3025
990,0.9017999999999999,0.303
991,1.1659000000000002,0.308
992,1.43,0.313
993,1.5565,0.326
994,1.683,0.339
995,1.754,0.3535
996,1.825,0.368
997,1.8475,0.3795
998,1.87,0.391
999,1.6335,0.4
1000,1.397,0.409
1001,1.279,0.416
1002,1.161,0.423
1003,1.082,0.4235
1004,1.003,0.424
1005,0.89195,0.414
1006,0.7808999999999999,0.404
1007,0.6890499999999999,0.3825
1008,0.5972000000000001,0.361
1009,0.5303,0.3365
1010,0.4634,0.312
1011,0.41935,0.289
1012,0.3753,0.266
1013,0.42965,0.246
1014,0.484,0.226
1015,0.5551,0.2085
1016,0.6262000000000001,0.191
1017,0.692,0.1785
1018,0.7577999999999999,0.166
1019,0.8152,0.1635
1020,0.8726,0.161
1021,1.1498,0.169
1022,1.427,0.177
1023,1.552,0.1885
1024,1.677,0.2
1025,1.6245,0.212
1026,1.572,0.224
1027,1.515,0.2355
1028,1.458,0.247
1029,1.1789,0.258
1030,0.8997999999999999,0.269
1031,0.7677999999999999,0.2795
1032,0.6357999999999999,0.29
1033,0.681,0.296
1034,0.7262000000000001,0.302
1035,0.778,0.302
1036,0.8298,0.302
1037,0.8657999999999999,0.3025
1038,0.9017999999999999,0.303
1039,1.1659000000000002,0.308
1040,1.43,0.313
1041,1.5565,0.326
1042,1.683,0.339
1043,1.754,0.3535
1044,1.825,0.368
1045,1.8475,0.3795
1046,1.87,0.391
1047,1.6335,0.4
1048,1.397,0.409
1049,1.279,0.416
1050,1.161,0.423
1051,1.082,0.4235
1052,1.003,0.424
1053,0.89195,0.414
1054,0.7808999999999999,0.404
1055,0.69455,0.3825
1056,0.6082000000000001,0.361
1057,0.5538,0.3365
1058,0.49939999999999996,0.312
1059,0.47185000000000005,0.289
1060,0.44430000000000003,0.266
1061,0.5162,0.246
1062,0.5881000000000001,0.226
1063,0.67095,0.2085
1064,0.7537999999999999,0.191
1065,0.8225999999999999,0.1785
1066,0.8914,0.166
1067,0.9462,0.1635
1068,1.001,0.161
1069,1.276,0.169
1070,1.551,0.177
1071,1.6715,0.1885
1072,1.792,0.2
1073,1.714,0.212
1074,1.636,0.224
1075,1.577,0.2355
1076,1.518,0.247
1077,1.2372,0.258
1078,0.9564,0.269
1079,0.82475,0.2795
1080,0.6931,0.29
1081,0.76095,0.296
1082,0.8288,0.302
1083,0.88095,0.302
1084,0.9331,0.302
1085,0.96635,0.3025
1086,0.9996,0.303
1087,1.2652999999999999,0.308
1088,1.531,0.313
1089,1.656,0.326
1090,1.781,0.339
1091,1.85,0.3535
1092,1.919,0.368
1093,1.9415,0.3795
1094,1.964,0.391
1095,1.7225,0.4
1096,1.481,0.409
1097,1.3615,0.416
1098,1.242,0.423
1099,1.1615,0.4235
1100,1.081,0.424
1101,0.9595,0.414
1102,0.838,0.404
1103,0.7365,0.3825
1104,0.635,0.361
1105,0.55745,0.3365
1106,0.4799,0.312
1107,0.42414999999999997,0.289
1108,0.36839999999999995,0.266
1109,0.41910000000000003,0.246
1110,0.4698,0.226
1111,0.5366000000000001,0.2085
1112,0.6033999999999999,0.191
1113,0.66625,0.1785
1114,0.7291,0.166
1115,0.7840499999999999,0.1635
1116,0.839,0.161
1117,1.115,0.169
1118,1.391,0.177
1119,1.5155,0.1885
1120,1.64,0.2
1121,1.5745,0.212
1122,1.509,0.224
1123,1.4585,0.2355
1124,1.408,0.247
1125,1.13165,0.258
1126,0.8553,0.269
1127,0.7253499999999999,0.2795
1128,0.5953999999999999,0.29
1129,0.65315,0.296
1130,0.7109,0.302
1131,0.7563499999999999,0.302
1132,0.8018,0.302
1133,0.83405,0.3025
1134,0.8663,0.303
1135,1.12715,0.308
1136,1.388,0.313
1137,1.512,0.326
1138,1.636,0.339
1139,1.7065,0.3535
1140,1.777,0.368
1141,1.799,0.3795
1142,1.821,0.391
1143,1.5845,0.4
1144,1.348,0.409
1145,1.23,0.416
1146,1.112,0.423
1147,1.0326,0.4235
1148,0.9532,0.424
1149,0.8482000000000001,0.414
1150,0.7432000000000001,0.404
1151,0.65735,0.3825
1152,0.5715,0.361
1153,0.49365,0.3365
1154,0.4158,0.312
1155,0.34470000000000006,0.289
1156,0.2736,0.266
1157,0.28170000000000006,0.246
1158,0.2898,0.226
1159,0.30410000000000004,0.2085
1160,0.31839999999999996,0.191
1161,0.3395,0.1785
1162,0.36060000000000003,0.166
1163,0.39175,0.1635
1164,0.4229,0.161
1165,0.67865,0.169
1166,0.9344,0.177
1167,1.0627,0.1885
1168,1.191,0.2
1169,1.17,0.212
1170,1.149,0.224
1171,1.125,0.2355
1172,1.101,0.247
1173,0.85545,0.258
1174,0.6099,0.269
1175,0.49479999999999996,0.2795
