Site Name,Turbine Capacity (MW),No. of Turbines,x,y
Spurness Wind Farm Repowering,2,5.0,-2.692522488357897,59.18928987556807
St Johns Wells Wind Cluster Extension,0.8,4.0,-2.3352849109914104,57.41822554585437
GlaxoSmithKline Wind Project,2.5,3.0,-4.633856399808461,55.597913398362344
K L Technologies Wind Turbine,1.5,1.0,0.3857618964127409,52.77119706027362
Skeddoway Farm Wind Turbine,1.5,1.0,-3.1593410459761833,56.16649966215489
Ardoch and Over Enoch Wind Farm (Over Enoch),2.3,2.0,-4.252077738992406,55.71014687091498
Ystgellog Farm Wind Farm ,2.3,2.0,-4.400317082662597,53.393828004355164
NEILSTON WIND FARM,2.3,4.0,-4.46670589892803,55.75412547614365
Greencroft Estate Turbines,2,2.0,-1.7486765640203947,54.849717531372576
Crossness Sewage Works Turbine,2.5,1.0,0.14215418348589764,51.502168126616674
Muirhall Extension,3.4,2.0,-3.6055405529815956,55.75838993639949
Marston Vale Country Park Wind Turbine,1.5,1.0,-0.5353754407489908,52.06466900580572
Severn Trent Water - Stoke Bardolph Wind Turbine,2.5,1.0,-1.0439630927085801,52.9757987135742
Barns of Ayre Wind Turbines (2),0.9,2.0,-2.7156526802777368,58.921710885066275
Newton Down,2,2.0,-3.669027615613966,51.50223225621431
North Steads Wind Farm ,3,9.0,-1.6247880172820994,55.2650385345487
Hill of Tillymorgan (Kirkton Farm) Wind turbines (resubmission),3.2,3.0,-2.610364141984962,57.344117995098415
LADEHEAD FARM - WIND TURBINES,1.3,3.0,-3.9221041176121747,55.649462254303735
Garlenick Estate 2 - Wind Turbines,2,2.0,-4.885099352103685,50.30692344907981
Goonabarn Farm Wind Turbines,0.5,2.0,-4.960640406551547,50.34965985543202
Bloodhills - repowering,0.5,2.0,1.664444480115079,52.70700500899992
Ardoch and Over Enoch Wind Farm (Ardoch),2.5,3.0,-4.253694602926214,55.71997639236056
Avonmouth Port II,2.5,2.0,-2.6738693514347496,51.53833614742852
Tween Bridge Windfarm,2,22.0,-0.9355954793195695,53.62232211070296
Mynydd Portref,0.85,11.0,-3.4597489804981403,51.55639848796228
Fforch Nest Wind Farm pt2,2.5,7.0,-3.4959702456619848,51.60649701375329
Wadlow Wind Farm,2,13.0,0.31607608979912805,52.166024388078675
Bradwell Wind Farm (Repower),2,10.0,0.8210706122421036,51.709842492033665
Hazlehead,2,3.0,-1.7311990461835245,53.53160572284437
Kiln Pit Hill Windfarm,2,6.0,-1.9144002300947285,54.88597312099802
Otterham Down Wind Farm (Resubmission),0.8,4.0,-4.610361333583667,50.68488459767779
Sixpenny Wood Windfarm,3.3,10.0,-0.8113864599548417,53.73800660632319
Earl's Hall,2.05,5.0,1.1109303320947879,51.809195019510575
Mawdesley Moss,0.75,3.0,-2.780297305031013,53.63349155226016
Chelveston Renewable Energy Park Wind Farm (East Northamptonshire),2.5,5.0,-0.5365798926702317,52.301199225913
Bewick Drift,2.3,1.0,-1.5571729690014173,55.21522898880432
Hall Farm Routh,2.05,12.0,-0.36088827808173,53.87368400339718
Rothes Wind Farm (Extension) (II),2.3,18.0,-3.362955792323602,57.53724853040639
Fforch Nest Wind Farm pt1,2.5,4.0,-3.494674100078067,51.6110095451502
Hampole Wind Farm,2,4.0,-1.254959754337868,53.57660050895284
Blackstone Edge,2.5,3.0,-1.706226019091223,53.54333085167029
Marr Windfarm,2,4.0,-1.2397162903592291,53.5330548514845
Nissan Motors Plant Extn,0.6,3.0,-1.4807731898383436,54.913894395615465
Hill of Fiddes,2.3,3.0,-2.1096287920303074,57.31087715767523
Cotton Farm,2.5,8.0,-0.19521576567578208,52.26154386581276
Land at Flimby Hall Farm (resubmission),2.05,3.0,-3.5139720904325094,54.68708115378262
Carland Cross Wind Farm Repowering,2,10.0,-5.030632731866865,50.35086951306815
Yelvertoft Wind Farm,2,8.0,-1.151096242590546,52.37479640058348
Mains of Hatton,0.8,3.0,-2.06669374712129,57.615281510882355
Whitelee Windfarm Extension Phase 1,3,36.0,-4.286763431022132,55.677150657950044
Tilbury Docks,3,4.0,0.3368780947761225,51.45728745197905
Seamer Windfarm - Stockton on Tees,2,3.0,-1.258534193185089,54.49418402655972
South Sharpley Wind Farm (Revised),2.5,3.0,-1.4022278857410628,54.840429236056124
Armistead Wind Farm,2,6.0,-2.6388216547434045,54.27605971341729
Withernwick,2,9.0,-0.17257521784082536,53.84570654639421
