name,bus0,bus1,r,x,b,s_nom,build_year,carrier,x_pu_eff,r_pu_eff,s_nom_opt,v_nom
85,Melksham,Sundon/East Claydon,0.00039,0.003,0.2466,3733.0940988835723,0,AC,1.875e-08,2.4375e-09,3733.0940988835723,400.0
86,Melksham,S.W.Penisula,0.00151,0.0182,0.53,2708.8516746411483,0,AC,1.1375000000000001e-07,9.437500000000001e-09,2708.8516746411483,400.0
87,Bramley,Lovedean,0.00068,0.007,0.2388,2978.389154704944,0,AC,4.375e-08,4.25e-09,2978.389154704944,400.0
88,Bramley,London,0.00104,0.0091,0.2918,1873.285486443381,0,AC,5.6875000000000005e-08,6.4999999999999995e-09,1873.285486443381,400.0
89,Bramley,London,0.00104,0.0091,0.2918,1873.285486443381,0,AC,5.6875000000000005e-08,6.4999999999999995e-09,1873.285486443381,400.0
90,Bramley,Lovedean,0.00068,0.007,0.2388,2978.389154704944,0,AC,4.375e-08,4.25e-09,2978.389154704944,400.0
91,London,Kemsley,0.0002,0.0057,0.532,9379.904306220094,0,AC,3.5625e-08,1.25e-09,9379.904306220094,400.0
92,London,Kemsley,0.0002,0.0057,0.532,7466.188197767145,0,AC,3.5625e-08,1.25e-09,7466.188197767145,400.0
93,Sellindge,Kemsley,0.0002,0.00503,0.1797,4177.830940988835,0,AC,3.14375e-08,1.25e-09,4177.830940988835,400.0
94,Sellindge,Kemsley,0.0002,0.00503,0.1797,4177.830940988835,0,AC,3.14375e-08,1.25e-09,4177.830940988835,400.0
95,Lovedean,Sellindge,0.00038,0.00711,0.2998,4137.400318979266,0,AC,4.44375e-08,2.375e-09,4137.400318979266,400.0
96,Lovedean,Sellindge,0.00038,0.00711,0.2998,4137.400318979266,0,AC,4.44375e-08,2.375e-09,4137.400318979266,400.0
97,S.W.Penisula,Lovedean,0.00051,0.00796,0.34,3746.570972886762,0,AC,4.975e-08,3.1875000000000004e-09,3746.570972886762,400.0
98,S.W.Penisula,Lovedean,0.00051,0.00796,0.34,3746.570972886762,0,AC,4.975e-08,3.1875000000000004e-09,3746.570972886762,400.0
