,Moyle,IFA,IFA2,NSL,ElecLink,GridLink,NorthConnect,FAB Link
80,-481.02651529962736,-1999.8280899052315,60.31457333544131,-1849.897145414449,1750.0,249.82808990523154,1849.897145414449,-60.31457333544131
81,-682.9367716721202,-2021.9385197424376,68.01626712422467,-2117.5154791234236,1750.0,271.9385197424376,2117.5154791234236,-68.01626712422467
82,-658.583137314747,-2080.0347108391406,81.8624576769082,-2194.9064664534185,1750.0,330.03471083914064,2194.9064664534185,-81.8624576769082
83,-681.8859079921446,-2100.224190520993,77.75518991533409,-1873.6566482068688,1750.0,350.22419052099303,1873.6566482068688,-77.75518991533409
84,-671.5567327127834,-2015.7543623524143,45.66504854618074,-1765.3523414525425,1750.0,265.7543623524143,1765.3523414525425,-45.66504854618074
85,-636.4612713662005,-1950.7949732546049,33.636630733270295,-1607.6423209082102,1750.0,200.79497325460488,1607.6423209082102,-33.636630733270295
86,-650.8451411091255,-1962.392040802783,30.146155556481517,-1765.8700772433795,1750.0,212.39204080278296,1765.8700772433795,-30.146155556481517
87,-625.7408201631292,-1905.3773698439704,21.749910600939756,-2297.5045199504157,1750.0,155.37736984397043,2297.5045199504157,-21.749910600939756
88,-630.6376621257233,-1844.4154959942493,-34.288667169785185,-2449.999997772265,1750.0,94.41549599424934,2449.999997772265,34.288667169785185
89,-702.5889076906292,-699.9974776185154,1749.9946113904157,-2449.9999982232607,-1750.0,2449.9974776185154,2449.9999982232607,-1749.9946113904157
90,-779.5602146517086,-3500.0,1749.994617906057,-2449.9999984969554,1050.0025215653577,2449.9974784346423,2449.9999984969554,-1749.994617906057
91,-803.0901875958816,-3500.0,1749.9946194691702,-2449.999998453659,1050.0025299749977,2449.9974700250023,2449.999998453659,-1749.9946194691702
92,-812.9653500861644,-699.9978470040946,1749.9954132742578,-2449.9999984021156,-1750.0,2449.9978470040946,2449.9999984021156,-1749.9954132742578
93,-968.9636776772445,-699.9978553421411,1749.9954138415667,-2449.9999984182364,-1750.0,2449.997855342141,2449.9999984182364,-1749.9954138415667
94,-464.65801305165445,-3481.0283992862624,707.7491563048197,-2448.848506268725,1750.0,1731.0283992862624,2448.848506268725,-707.7491563048197
95,-432.459972318489,-1940.0098532114093,31.817574854131863,-2405.4536735777788,1750.0,190.00985321140934,2405.4536735777788,-31.817574854131863
