dataset,settlementDate,settlement_period,timeFrom,level_from,timeTo,level_to,pair_id,offer_price,bid_price,nationalGridBmUnit,bmu_id
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-LUKP01,2__LUKPR001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-LUKP01,2__LUKPR001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,-9000.0,-9999.0,AG-MFLX01,2__MFLEX001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,9999.0,9000.0,AG-MFLX01,2__MFLEX001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,-9000.0,-9999.0,AG-MFLX02,2__MFLEX002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,9999.0,9000.0,AG-MFLX02,2__MFLEX002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-MFLX03,2__MFLEX003
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-MFLX03,2__MFLEX003
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-MFLX04,2__MFLEX004
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-MFLX04,2__MFLEX004
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-20,2020-11-21T01:00:00Z,-20,-1,100.0,29.0,AG-MLIM01,2__MANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,20,2020-11-21T01:00:00Z,20,1,100.0,29.0,AG-MLIM01,2__MANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-MLIM02,2__MANGE002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-MLIM02,2__MANGE002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-50,2020-11-21T01:00:00Z,-50,-1,74.0,20.0,AG-MSMA01,2__MSMAE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,50,2020-11-21T01:00:00Z,50,1,74.0,20.0,AG-MSMA01,2__MSMAE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-50,2020-11-21T01:00:00Z,-50,-1,75.0,20.0,AG-MSMA02,2__MSMAE002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,50,2020-11-21T01:00:00Z,50,1,75.0,20.0,AG-MSMA02,2__MSMAE002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-50,2020-11-21T01:00:00Z,-50,-2,9999.0,-9999.0,AG-MSTK01,2__MSTAT001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-47,2020-11-21T01:00:00Z,-47,-1,9999.0,-9999.0,AG-MSTK01,2__MSTAT001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,3,2020-11-21T01:00:00Z,3,1,9999.0,-9999.0,AG-MSTK01,2__MSTAT001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,53,2020-11-21T01:00:00Z,53,2,9999.0,-9999.0,AG-MSTK01,2__MSTAT001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-MSTK02,2__MSTAT002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-MSTK02,2__MSTAT002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-MUKP01,2__MUKPR001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-MUKP01,2__MUKPR001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-NEDF01,2__NLOND001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-NEDF01,2__NLOND001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-12,2020-11-21T01:00:00Z,-12,-1,66.79,25.0,AG-NLIM01,2__NANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,12,2020-11-21T01:00:00Z,12,1,66.79,25.0,AG-NLIM01,2__NANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-NLIM02,2__NANGE002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-NLIM02,2__NANGE002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-NSMA01,2__NSMAR002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-NSMA01,2__NSMAR002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-REC02L,
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-REC02L,
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-REC03B,
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-REC03B,
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-REC04E,
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-REC04E,
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AIRSW-1,E_AIRSW-1
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AIRSW-1,E_AIRSW-1
