,snapshot,objective,stores,generators
522,2045-01-22 18:00:00,1,1,1
523,2045-01-22 19:00:00,1,1,1
524,2045-01-22 20:00:00,1,1,1
525,2045-01-22 21:00:00,1,1,1
526,2045-01-22 22:00:00,1,1,1
527,2045-01-22 23:00:00,1,1,1
528,2045-01-23 00:00:00,1,1,1
529,2045-01-23 01:00:00,1,1,1
530,2045-01-23 02:00:00,1,1,1
531,2045-01-23 03:00:00,1,1,1
532,2045-01-23 04:00:00,1,1,1
533,2045-01-23 05:00:00,1,1,1
534,2045-01-23 06:00:00,1,1,1
535,2045-01-23 07:00:00,1,1,1
536,2045-01-23 08:00:00,1,1,1
537,2045-01-23 09:00:00,1,1,1
538,2045-01-23 10:00:00,1,1,1
539,2045-01-23 11:00:00,1,1,1
540,2045-01-23 12:00:00,1,1,1
541,2045-01-23 13:00:00,1,1,1
542,2045-01-23 14:00:00,1,1,1
543,2045-01-23 15:00:00,1,1,1
544,2045-01-23 16:00:00,1,1,1
545,2045-01-23 17:00:00,1,1,1
546,2045-01-23 18:00:00,1,1,1
547,2045-01-23 19:00:00,1,1,1
548,2045-01-23 20:00:00,1,1,1
549,2045-01-23 21:00:00,1,1,1
550,2045-01-23 22:00:00,1,1,1
551,2045-01-23 23:00:00,1,1,1
552,2045-01-24 00:00:00,1,1,1
553,2045-01-24 01:00:00,1,1,1
554,2045-01-24 02:00:00,1,1,1
555,2045-01-24 03:00:00,1,1,1
556,2045-01-24 04:00:00,1,1,1
557,2045-01-24 05:00:00,1,1,1
558,2045-01-24 06:00:00,1,1,1
559,2045-01-24 07:00:00,1,1,1
560,2045-01-24 08:00:00,1,1,1
561,2045-01-24 09:00:00,1,1,1
562,2045-01-24 10:00:00,1,1,1
563,2045-01-24 11:00:00,1,1,1
564,2045-01-24 12:00:00,1,1,1
565,2045-01-24 13:00:00,1,1,1
566,2045-01-24 14:00:00,1,1,1
567,2045-01-24 15:00:00,1,1,1
568,2045-01-24 16:00:00,1,1,1
569,2045-01-24 17:00:00,1,1,1
570,2045-01-24 18:00:00,1,1,1
571,2045-01-24 19:00:00,1,1,1
572,2045-01-24 20:00:00,1,1,1
573,2045-01-24 21:00:00,1,1,1
574,2045-01-24 22:00:00,1,1,1
575,2045-01-24 23:00:00,1,1,1
576,2045-01-25 00:00:00,1,1,1
577,2045-01-25 01:00:00,1,1,1
578,2045-01-25 02:00:00,1,1,1
579,2045-01-25 03:00:00,1,1,1
580,2045-01-25 04:00:00,1,1,1
581,2045-01-25 05:00:00,1,1,1
582,2045-01-25 06:00:00,1,1,1
583,2045-01-25 07:00:00,1,1,1
584,2045-01-25 08:00:00,1,1,1
585,2045-01-25 09:00:00,1,1,1
586,2045-01-25 10:00:00,1,1,1
587,2045-01-25 11:00:00,1,1,1
588,2045-01-25 12:00:00,1,1,1
589,2045-01-25 13:00:00,1,1,1
590,2045-01-25 14:00:00,1,1,1
591,2045-01-25 15:00:00,1,1,1
592,2045-01-25 16:00:00,1,1,1
593,2045-01-25 17:00:00,1,1,1
594,2045-01-25 18:00:00,1,1,1
595,2045-01-25 19:00:00,1,1,1
596,2045-01-25 20:00:00,1,1,1
