,IFA,IFA2,NSL,ElecLink,GridLink,NorthConnect,FAB Link
166,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
167,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
168,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
169,-396.0,-990.0,1386.0,-990.0,1386.0,-1386.0,990.0
170,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
171,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
172,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
173,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
174,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
175,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
176,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
177,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
178,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
179,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
180,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
181,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
182,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
183,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
184,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
185,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
186,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
187,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
188,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
189,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
190,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
191,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
192,-396.0,-990.0,1386.0,-990.0,1386.0,-1386.0,990.0
193,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
194,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
195,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
196,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
197,-396.0,-990.0,1386.0,-990.0,1386.0,-1386.0,990.0
198,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
199,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
200,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
201,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
202,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
203,-396.0,-990.0,1386.0,-990.0,1386.0,-1386.0,990.0
204,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
205,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
206,-1980.0,990.0,1386.0,594.0,1386.0,-1386.0,-990.0
207,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
208,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
209,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
210,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
211,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
212,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
213,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
214,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
215,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
216,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
217,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
218,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
219,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
220,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
221,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
222,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
223,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
224,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
225,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
226,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
227,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
228,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
229,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
230,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
231,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
232,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
233,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
