,Interconnector Deeside,Interconnector Sellindge,Interconnector Neilston,Interconnector Kemsley
1999,0.0,0.712968770625,0.0,0.7286364
2000,0.0,0.7271875078125,0.0,0.9054545
2001,0.0,0.8287499946874999,0.0,0.96090907
2002,0.0,0.93390624375,0.0,0.96181816
2003,0.0,0.9362499971875,0.0,0.9622727
2004,0.0,0.93640627,0.0,0.9622727
2005,0.0,0.93640627,0.0,0.9104546
2006,0.0,0.93640627,0.0,0.9095455
2007,0.0,0.936562523125,0.0,0.90909094
2008,0.0,0.936562523125,0.0,0.90909094
2009,0.0,0.936562523125,0.0,0.90909094
2010,0.0,0.936562523125,0.0,0.9604545
2011,0.0,0.936406275,0.0,0.96181816
2012,0.0,0.936562523125,0.0,0.96181816
2013,0.0,0.936406275,0.0,0.9613636
2014,0.0,0.8595312625000001,0.0,0.9109091
2015,0.0,0.858125015625,0.0,0.90909094
2016,0.0,0.885937515625,0.0,0.865
2017,0.0,0.82515623125,0.0,0.80045456
2018,0.0,0.7939062571875,0.0,0.79954547
2019,0.0,0.793749971875,0.0,0.7990909
2020,0.0,0.793749971875,0.0,0.7990909
2021,0.0,0.793749971875,0.0,0.7990909
2022,0.0,0.7803124834375,0.0,0.79818183
2023,0.033333335,0.8578124896875,0.064166665,0.90727276
2024,0.0,0.858437521875,0.0,0.9095455
2025,0.0,0.8582812687500001,0.0,0.9604545
2026,0.0,0.8582812687500001,0.0,0.96181816
2027,0.0,0.8331250165625,0.0,0.9622727
2028,0.0,0.8576562643750001,0.0,0.9613636
2029,0.0,0.858125015625,0.0,0.91
2030,0.0,0.858125015625,0.0,0.9095455
2031,0.0,0.8582812687500001,0.0,0.90909094
2032,0.0,0.858125015625,0.0,0.90909094
2033,0.0,0.858125015625,0.0,0.90909094
2034,0.0,0.8582812687500001,0.0,0.96090907
2035,0.0,0.8582812687500001,0.0,0.96181816
2036,0.0,0.858125015625,0.0,0.9613636
2037,0.0,0.858125015625,0.0,0.9622727
2038,0.0,0.858125015625,0.0,0.91
2039,0.0,0.858125015625,0.0,0.90909094
2040,0.0,0.8279687531250001,0.0,0.865
2041,0.0,0.81171875625,0.0,0.84409094
2042,0.0,0.81171875625,0.0,0.84363633
2043,0.0,0.81171875625,0.0,0.84363633
2044,0.0,0.811875009375,0.0,0.84363633
2045,0.0,0.8115625031250001,0.0,0.8413636
2046,0.0,0.8115625031250001,0.0,0.79545456
2047,0.045,0.85765625625,0.0,0.90636367
2048,0.0,0.8582812687500001,0.0,0.9095455
2049,0.0,0.8582812687500001,0.0,0.9604545
2050,0.0,0.858125015625,0.0,0.9613636
2051,0.0,0.858125015625,0.0,0.96181816
2052,0.0,0.858125015625,0.0,0.96181816
2053,0.0,0.8582812687500001,0.0,0.9109091
2054,0.0,0.858125015625,0.0,0.90909094
2055,0.0,0.858125015625,0.0,0.90909094
2056,0.0,0.858125015625,0.0,0.9086364
2057,0.0,0.858125015625,0.0,0.90909094
2058,0.0,0.858125015625,0.0,0.9604545
2059,0.0,0.858125015625,0.0,0.96181816
2060,0.0,0.858125015625,0.0,0.9622727
2061,0.0,0.858125015625,0.0,0.96181816
2062,0.0,0.858125015625,0.0,0.91
2063,0.0,0.858125015625,0.0,0.90909094
2064,0.0,0.858125015625,0.0,0.90909094
2065,0.0,0.82749999375,0.0,0.90909094
2066,0.0,0.82687498125,0.0,0.90909094
2067,0.0,0.8270312343750001,0.0,0.90909094
2068,0.0,0.8270312343750001,0.0,0.9095455
2069,0.0,0.8270312343750001,0.0,0.9086364
2070,0.0,0.8270312343750001,0.0,0.6872727
2071,0.0,0.8287500093750001,0.0,0.9031818
2072,0.0,0.8578125175000001,0.0,0.90909094
2073,0.0,0.4292187609375,0.0,0.48
2074,0.0,0.8582812687500001,0.0,0.96181816
2075,0.0,0.858125015625,0.0,0.6268182
2076,0.0,0.858437521875,0.0,0.49
2077,0.0,0.8129687678125,0.0,0.3618182
2078,0.0,0.857343775,0.0,0.3590909
2079,0.0,0.858125015625,0.0,0.3590909
2080,0.0,0.858125015625,0.0,0.16454546
2081,0.0,0.858125015625,0.0,0.4340909
2082,0.0,0.858125015625,0.0,0.94863635
2083,0.0,0.858125015625,0.0,0.96181816
2084,0.0,0.858125015625,0.0,0.9613636
2085,0.0,0.858125015625,0.0,0.96
2086,0.0,0.858125015625,0.0,0.9104546
2087,0.0,0.858125015625,0.0,0.81954545
2088,0.0,0.7973437640625001,0.0,0.8213636
2089,0.0,0.7809374812500001,0.0,0.79545456
2090,0.0,0.7806249946875,0.0,0.79545456
2091,0.0,0.7806249946875,0.068333335,0.79545456
2092,0.0,0.7806249946875,0.04083333,0.795
2093,0.0,0.7806249946875,0.2775,0.795
2094,0.0,0.7953125062499999,0.24333334,0.4731817999999999
2095,0.17833333,0.8049999953125,0.24,0.89772725
2096,0.020833334,0.85718750625,0.0,0.9086364
2097,0.0,0.8582812687500001,0.0,0.9613636
2098,0.0,0.858125015625,0.0,0.96181816
2099,0.0,0.858125015625,0.0,0.9622727
2100,0.0,0.858125015625,0.0,0.96181816
2101,0.0,0.858125015625,0.0,0.9104546
2102,0.0,0.858125015625,0.0,0.9095455
2103,0.0,0.858125015625,0.0,0.9095455
2104,0.0,0.858125015625,0.0,0.9095455
2105,0.0,0.8579687625,0.0,0.9086364
2106,0.0,0.8579687625,0.0,0.96090907
2107,0.0,0.8578124896875,0.0,0.9622727
2108,0.0,0.8578124896875,0.0,0.9613636
2109,0.0,0.8578124896875,0.0,0.9613636
2110,0.0,0.85765625625,0.0,0.9095455
2111,0.0,0.8578124896875,0.0,0.91
2112,0.0,0.82749999375,0.0,0.86454546
2113,0.0,0.811875009375,0.0,0.84272724
2114,0.0,0.81171875625,0.0,0.8422727
2115,0.0,0.7960937456250001,0.0,0.8222727
2116,0.0,0.79593751875,0.0,0.8218182
2117,0.0,0.79593751875,0.0,0.8213636
2118,0.0,0.8115625031250001,0.0,0.8413636
2119,0.0,0.8267187609375,0.0,0.84636366
2120,0.0,0.8267187609375,0.0,0.8640909
2121,0.0,0.842656284375,0.0,0.8859091
2122,0.0,0.842656284375,0.0,0.8868182
2123,0.0,0.8428124981249999,0.0,0.8863636
2124,0.0,0.82687498125,0.0,0.8659091
2125,0.0,0.8264062612500002,0.0,0.8640909
2126,0.0,0.842031245625,0.0,0.88545454
2127,0.0,0.84234373875,0.0,0.8863636
2128,0.0,0.8575000046875,0.0,0.87045455
2129,0.0,0.7559374990625,0.0,0.8863636
2130,0.0,0.8104687440625,0.0,0.9604545
2131,0.0,0.8570312490625,0.0,0.96090907
2132,0.0,0.8578124896875,0.0,0.96181816
2133,0.0,0.8578124896875,0.0,0.9613636
2134,0.04,0.8578124896875,0.0,0.91
2135,0.0,0.85765625625,0.0,0.90909094
2136,0.16583334,0.8273437406249999,0.12833333,0.865
2137,0.0625,0.7967187518750001,0.22833334,0.82272726
2138,0.37166667,0.7795312637499999,0.3325,0.8218182
2139,0.06666667,0.7564062625,0.0,0.75136364
2140,0.0,0.7562499896875,0.0,0.6504545
2141,0.0,0.7532812490624999,0.0,0.3759091
2142,0.0,0.771093765625,0.0,0.5468182
2143,0.0,0.80093749375,0.0,0.46318182
2144,0.0,0.8206249824999999,0.0,0.7609091
2145,0.0,0.853750005,0.0,0.8631818
2146,0.0,0.8545312537500002,0.0,0.86454546
2147,0.0,0.8395312621875,0.0,0.83863634
2148,0.0,0.8175000171875,0.0,0.8372727
2149,0.0,0.8178124937499999,0.0,0.8372727
2150,0.0,0.8321875187500001,0.0,0.8640909
2151,0.0,0.8634374875,0.0,0.9086364
2152,0.0,0.8787499959375,0.0,0.90909094
2153,0.0,0.92453125,0.0,0.96090907
2154,0.0,0.885,0.0,0.96181816
2155,0.0,0.924374996875,0.0,0.96181816
2156,0.0,0.925312490625,0.0,0.96181816
2157,0.0,0.925312495625,0.0,0.91
2158,0.0,0.8590625090624999,0.0,0.86454546
2159,0.0,0.7731249959375001,0.0,0.7772727
2160,0.0,0.740937505,0.0,0.71272725
2161,0.0,0.7312499996875,0.0,0.73227274
2162,0.0,0.749375003125,0.0,0.7568182
2163,0.0,0.7490624968749999,0.0,0.7581818
2164,0.0,0.7634375021875001,0.0,0.7131818
2165,0.0,0.5560937571875,0.0,0.8009091
2166,0.033333335,0.5453124953124999,0.041666668,0.86227274
2167,0.0,0.5453125068750001,0.0,0.90727276
2168,0.0,0.5449999875,0.0,0.96090907
2169,0.0,0.5453125068750001,0.0,0.96181816
2170,0.0,0.5640624890625,0.0,0.9613636
2171,0.0,0.5804687696874999,0.0,0.9613636
2172,0.0,0.5512500025,0.0,0.9622727
2173,0.0,0.549843755625,0.0,0.9104546
2174,0.0,0.5453125068750001,0.0,0.9086364
2175,0.0,0.5451562603125,0.0,0.9086364
2176,0.0,0.5451562603125,0.0,0.9613636
2177,0.0,0.5451562603125,0.0,0.96181816
2178,0.0,0.5453125068750001,0.0,0.9622727
2179,0.0,0.6118749859375001,0.0,0.96181816
2180,0.0,0.612968733125,0.0,0.96181816
2181,0.0,0.48968749625,0.0,0.91
2182,0.0,0.5885937381249999,0.0,0.90909094
2183,0.0,0.555937498125,0.0,0.86545455
2184,0.0,0.5393750071875,0.0,0.865
2185,0.0,0.5390625075,0.0,0.865
2186,0.0,0.5390625075,0.083333336,0.86454546
2187,0.0,0.5404687578124999,0.4225,0.86454546
2188,0.008333334,0.5403124896875,0.48833334,0.86454546
2189,0.25666666,0.5754687293749999,0.48833334,0.90818185
2190,0.5366667,0.6062500078125,0.31333333,0.9086364
2191,0.14833333,0.6231250165625,0.0033333334,0.81
2192,0.0,0.6235937678125,0.0,0.95454544
2193,0.0,0.623437495,0.0,0.95454544
2194,0.0,0.623437495,0.045833334,0.95772725
2195,0.0583333339999999,0.623437495,0.4325,0.9581818
2196,0.0125,0.623437495,0.48833334,0.8959091
2197,0.34416667,0.623437495,0.48833334,0.9040909
2198,0.44416666,0.623437495,0.48833334,0.9045454
2199,0.17166667,0.623281246875,0.4875,0.90909094
2200,0.455,0.623281246875,0.4825,0.9604545
2201,0.7925,0.623437495,0.41333333,0.9622727
2202,0.84,0.623437495,0.47583333,0.9613636
2203,0.84,0.623281246875,0.48833334,0.96181816
2204,0.84,0.5926562643750001,0.45,0.96090907
2205,0.66583335,0.5092187503125001,0.4825,0.9095455
2206,0.81083333,0.538906256875,0.3725,0.90909094
2207,0.84,0.55749999125,0.13666667,0.90909094
2208,0.84,0.545624998125,0.13666667,0.8222727
2209,0.8325,0.5300000165625001,0.13666667,0.8213636
2210,0.84,0.5298437634375,0.13666667,0.8209091
2211,0.84,0.529687516875,0.13666667,0.8059091
2212,0.84,0.4545312528124999,0.13666667,0.10363636
2213,0.84,0.1796874917812499,0.13666667,0.18136364
2214,0.8041667,0.3445312521875,0.13666667,0.0013636363
2215,0.42083332,0.2357812608124999,0.12666667,0.0
2216,0.038333334,0.533281226875,0.0,0.11772727
2217,0.1975,0.52609375375,0.12,0.0
2218,0.34583333,0.3090625015625,0.13666667,0.0
2219,0.6958333,0.2718749921375,0.13583334,0.65727276
