,Beauly,Peterhead,Errochty,Denny/Bonnybridge,Neilston,Strathaven,Torness,Eccles,Harker,Stella West,Penwortham,Deeside,Daines,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Keadby,Ratcliffe,Feckenham,Walpole,Bramford,Pelham,Sundon/East Claydon,Melksham,Bramley,London,Kemsley,Sellindge,Lovedean,S.W.Penisula,Netherlands,Belgium,France1,France2,Ireland,N. Ireland
40,241.457,340.45398,120.04559,894.80804,1056.8829,307.2826,272.48953,78.486855,370.22073,2241.9438,1137.4918,2436.5225,2473.5925,1973.6517,1797.6743,644.96906,1558.3508,3171.9353,869.6811,1089.7701,663.2876,2230.2473,3268.5603,1023.5672,7030.7007,1226.3055,628.467,1696.1244,2059.5298,-0.0,-0.0,-0.0,1.0,535.5,454.0
41,252.79135,356.43536,125.68071,936.81165,1106.4946,321.70688,285.28058,82.17114,387.59943,2347.1838,1190.8873,2550.8962,2589.7065,2066.2979,1882.0597,675.2448,1631.5021,3320.8306,910.5052,1140.9255,694.4233,2334.9382,3421.9915,1071.615,7360.732,1283.8701,657.96814,1775.743,2156.2073,-0.0,-0.0,-0.0,1.0,536.0,454.0
42,258.64987,364.69586,128.5934,958.5226,1132.138,329.16254,291.89203,84.075485,396.58218,2401.5806,1218.4866,2610.0142,2649.7239,2114.1848,1925.677,690.89386,1669.3126,3397.7917,931.60645,1167.3668,710.5167,2389.0513,3501.297,1096.45,7531.3193,1313.6243,673.2168,1816.8964,2206.178,-0.0,-0.0,-0.0,1.0,536.0,454.0
43,256.21585,361.26392,127.38328,949.50244,1121.484,326.06497,289.1452,83.284294,392.85016,2378.9805,1207.02,2585.4526,2624.7888,2094.2896,1907.5555,684.3922,1653.6036,3365.817,922.8396,1156.3813,703.83044,2366.569,3468.3481,1086.1318,7460.4463,1301.2625,666.8815,1799.7986,2185.4167,-0.0,-0.0,-0.0,1.0,535.5,454.0
44,248.00493,349.68652,123.30104,919.0738,1085.544,315.6156,279.879,80.615295,380.26053,2302.7417,1168.3387,2502.597,2540.6724,2027.174,1846.4243,662.45953,1600.6107,3257.953,893.26544,1119.323,681.27484,2290.728,3357.1982,1051.3247,7221.362,1259.561,645.51,1742.1206,2115.3809,-0.0,-0.0,-0.0,1.0,535.5,454.0
45,233.12508,328.70596,115.9032,863.931,1020.4132,296.67923,263.08676,75.77852,357.4456,2164.5813,1098.2406,2352.4456,2388.2366,1905.5471,1735.6422,622.7132,1504.577,3062.4817,839.67114,1052.1656,640.3996,2153.2883,3155.7725,988.24713,6788.0933,1183.9896,606.7806,1637.5964,1988.4619,-0.0,-0.0,-0.0,1.0,536.0,454.0
46,214.30861,302.17477,106.54818,794.19965,938.0515,272.73303,241.85196,69.662125,328.5947,1989.8691,1009.5971,2162.57,2195.4724,1751.7427,1595.5514,572.4515,1383.1365,2815.2964,771.8978,967.241,588.7103,1979.4877,2901.0574,908.4816,6240.1987,1088.4249,557.8048,1505.4194,1827.9651,-0.0,-0.0,-0.0,1.0,535.5,454.0
47,192.99622,272.12433,95.952255,715.2187,844.7649,245.6105,217.80045,62.73442,295.91684,1791.9822,909.1955,1947.5085,1977.1387,1577.5367,1436.8783,515.52277,1245.5874,2535.323,695.13477,871.0516,530.16473,1782.6332,2612.5552,818.1357,5619.628,980.18414,502.3327,1355.7096,1646.179,-0.0,-0.0,-0.0,1.0,535.0,454.5
48,176.50119,248.86638,87.7514,654.09033,772.56445,224.61864,199.18546,57.37263,270.6254,1638.8248,831.4883,1781.0587,1808.1564,1442.7076,1314.071,471.462,1139.1294,2318.6338,635.7229,796.6045,484.85257,1630.2749,2389.2651,748.2112,5139.329,896.40967,459.39926,1239.8397,1505.4833,-0.0,-0.0,-0.0,1.0,535.5,401.5
49,172.68274,243.48238,85.852974,639.93964,755.8507,219.75922,194.87625,56.131424,264.77066,1603.3704,813.49976,1742.5271,1769.0386,1411.496,1285.6422,461.26233,1114.4854,2268.4722,621.9696,779.37067,474.3632,1595.0054,2337.5754,732.0243,5028.1445,877.01666,449.46057,1213.0168,1472.9135,-0.0,-0.0,-0.0,1.0,535.5,378.0
50,170.7102,240.7011,84.87229,632.6297,747.2167,217.24893,192.6502,55.490242,261.74622,1585.0552,804.2072,1722.6223,1748.831,1395.3726,1270.9565,455.99338,1101.7546,2242.5596,614.8649,770.46796,468.9446,1576.7858,2310.8735,723.6625,4970.7085,866.9986,444.32645,1199.1608,1456.0885,-0.0,-0.0,-0.0,1.0,535.5,335.5
